symbol,sector
A,Unknown
AAPL,Unknown
ABBV,Unknown
ABNB,Unknown
ABT,Unknown
ACGL,Unknown
ACN,Unknown
ADBE,Unknown
ADI,Unknown
ADM,Unknown
ADP,Unknown
ADSK,Unknown
AEE,Unknown
AEP,Unknown
AES,Unknown
AFL,Unknown
AIG,Unknown
AIZ,Unknown
AJG,Unknown
AKAM,Unknown
ALB,Unknown
ALGN,Unknown
ALL,Unknown
ALLE,Unknown
AMAT,Unknown
AMCR,Unknown
AMD,Unknown
AME,Unknown
AMGN,Unknown
AMP,Unknown
AMT,Unknown
AMZN,Unknown
ANET,Unknown
AON,Unknown
AOS,Unknown
APA,Unknown
APD,Unknown
APH,Unknown
APO,Unknown
APP,Unknown
APTV,Unknown
ARE,Unknown
ARES,Unknown
ATO,Unknown
AVB,Unknown
AVGO,Unknown
AVY,Unknown
AWK,Unknown
AXON,Unknown
AXP,Unknown
AZO,Unknown
BA,Unknown
BAC,Unknown
BALL,Unknown
BAX,Unknown
BBY,Unknown
BDX,Unknown
BEN,Unknown
BF.B,Unknown
BG,Unknown
BIIB,Unknown
BK,Unknown
BKNG,Unknown
BKR,Unknown
BLDR,Unknown
BLK,Unknown
BMY,Unknown
BR,Unknown
BRK.B,Unknown
BRO,Unknown
BSX,Unknown
BX,Unknown
BXP,Unknown
C,Unknown
CAG,Unknown
CAH,Unknown
CARR,Unknown
CAT,Unknown
CB,Unknown
CBOE,Unknown
CBRE,Unknown
CCI,Unknown
CCL,Unknown
CDNS,Unknown
CDW,Unknown
CEG,Unknown
CF,Unknown
CFG,Unknown
CHD,Unknown
CHRW,Unknown
CHTR,Unknown
CI,Unknown
CINF,Unknown
CL,Unknown
CLX,Unknown
CMCSA,Unknown
CME,Unknown
CMG,Unknown
CMI,Unknown
CMS,Unknown
CNC,Unknown
CNP,Unknown
COF,Unknown
COIN,Unknown
COO,Unknown
COP,Unknown
COR,Unknown
COST,Unknown
CPAY,Unknown
CPB,Unknown
CPRT,Unknown
CPT,Unknown
CRH,Unknown
CRL,Unknown
CRM,Unknown
CRWD,Unknown
CSCO,Unknown
CSGP,Unknown
CSX,Unknown
CTAS,Unknown
CTRA,Unknown
CTSH,Unknown
CTVA,Unknown
